,Title,Link,Genre,Developer,Publisher,Released in: Japan,North America,Rest of countries,Plots
113,Blades of Time,/wiki/Blades_of_Time,Action-adventure,Gaijin Entertainment,Konami,Unreleased,"May 14, 2019","May 14, 2019"," Blades of Time  features an ability called ""Time Rewind"", which lets the player turn back time and produces a clone that replicates the last actions the protagonist Ayumi made and is vital in solving puzzles and fighting hordes of enemies. The game also features a ""Dash"" ability which can instantly close the distance between Ayumi and her enemies, as well as travel quickly using environmental features. As the game progresses, Ayumi can unlock more than 40 sets of skills, including attacks and combos, as well as the powerful Order and Chaos forms of magic. The game also offers both a co-op campaign and PvP features.   A dual sword-wielding treasure hunter named Ayumi (アユミ, Ayumi) finds herself stuck on a mysterious and dangerous island. While rich with bounty, the island is also caught in the throes of Chaos magic. Ayumi soon discovers that it is also the home of thousands of long-held secrets, including special powers and abilities that she can gain for herself. Using everything she can, she must find a way to defeat armies of menacing villains and a multitude of treacherous traps in order to break free of the possessed island's grasp.  "
114,Blair Witch,/wiki/Blair_Witch_(video_game),Survival horror,Bloober Team,JP,"July 9, 2020","June 25, 2020","June 25, 2020"," As with previous Bloober Team games, Blair Witch is a first-person survival horror game and is a single player campaign. The player controls former police officer and veteran Ellis Lynch who joins a search party for a missing boy in the Black Hills forest in Burkittsville, Maryland.   The game plays out in a semi-open world, making players explore different parts of the areas which can sometimes lead to abandoned structures, campsites or little crevices that only Bullet can access. Along the way, they will find items such as wooden dolls, polaroids of missing people, dog tags and psychiatrist notes which are stored in the backpack. Also stored in the backpack are dog treats which can be fed to Bullet. Sometimes, areas can be blocked off by a log or a door and are only accessible by solving a puzzle or by collecting several items that opens or operates for example, a steam donkey. It may also require the player to find cassette tapes. There are two types; red and blue. The red tape allows players to manipulate and rewind time to move objects that have been locked or moved in place, while the blue tape tells more of the story. These tapes can be accessed via the camcorder.  While in the forest, Ellis will reminisce about his past through the use of several devices; a cell phone and a walkie-talkie. Whenever a call is received, the player can choose to accept or reject. This decision chosen will directly affect the game's conclusion as well. Messages and voicemails will also pop up occasionally, players can access them in the menu. Also in the phone's menu are the popular 2D games Snake and Astro Blaster which can be played at any point of the playthrough.  A major element of gameplay is Ellis' dog, Bullet. The player is able to interact with the dog through a command menu. There are five commands, ""Stay"", ""Stay close"", ""Reprimand, ""Pet"" and ""Seek"". The latter serves as an integral part of gameplay, as items found throughout allow Bullet to track the scent of certain objects or the general direction of where to go. During combat, Bullet serves as an indicator when shadowy creatures attack the player and will bark when they are close by, the player can fend for themselves by shining their flashlight towards the creatures.  Another feature with Bullet, is the psychological state of Ellis. It is crucial for the player to keep Bullet close to them at all times, as being separated from him for some time can affect the state of the character. The game's ending is dependent on the relationship between the player and the dog, accounting for the actions the player has done.  The game roughly takes up to six hours to complete, with a possibility of four endings and an additional secret ending.   The game is set in 1996, two years after the events of the first film, Ellis Lynch (voiced by Joseph May), a former police officer and a veteran, travels to the Black Hills Forest to join the search party for a missing boy, nine-year old Peter Shannon. He brings with him his pet dog, Bullet. While driving towards the Forest, he receives a call from his ex-wife, Jess. When he arrives at the forest, he takes his flashlight, acquires a Walkie-Talkie, and begins his search. Shortly after entering the forest, Ellis decides that he should call Sheriff Lanning, who is also on the search for the missing child. Lanning questions Ellis on whether he is in the condition to join the search.  After communicating with Lanning, Ellis ventures with Bullet through a small area of the forest in day time. Ellis finds a hat from which Bullet is able to follow Peter's scent. As the sky gets darker, Ellis and Bullet make their way through the forest, eventually reaching a campsite. Ellis discovers a camcorder placed on a rock; he picks the camcorder up and checks it, before blacking out. Ellis begins to dream, recalling previous points in his life. When Ellis finally awakens, it is shown that he had fallen asleep in the tent and it has gotten significantly darker outside.  Ellis remembers the camcorder from before he blacked out and happens upon a red tape. Ellis begins to view the tape and realizes that he can make certain objects from the tape appear or move in reality. Ellis successfully rewinds the red tape and a small toy police car appears on the ground. Shortly after, Lanning calls Ellis. Ellis begins trying to explain the red tape and what happened, but Lanning reveals that they didn't find such a campsite. Lanning tells Ellis to stay where he is so they can all meet up and follow Bullet. Ellis tells him that he can't wait for them to catch up and disconnects.  Ellis and Bullet eventually arrive at a crooked tree with black vines and white branches. They are unexpectedly stalked and attacked by several silhouetted monsters shrouded in leaves and twigs, with Bullet aiding Ellis as he scares them off with his flashlight. Ellis and Bullet begin searching the surrounding area. Ellis finds what looks to be war trenches and a broken down vehicle. As he searches the vehicle, he finds a red tape which shows that Peter was abducted. As Ellis and Bullet are heading back to find another route, the broken-down truck from before is now Lanning's truck. Ellis gets in the truck and switches on the headlights. A bright flash envelopes everything around Ellis and he steps out of the truck to find that it seems to be the next morning.  Continuing on his search, Bullet finds a pile of leaves and branches and begins digging and whimpering. Ellis discovers Lanning's body, and a tape showing that Lanning was murdered by Peter's abductor. Ellis follows Bullet back the way they came only to find that the river they crossed is now dried up. While walking across the river, Bullet begins to sniff at something, an old soldier's helmet. Ellis begins examining it and is told to run. While running, Ellis hears gunshots and dogs barking and sees flashes of light are coming from all around them until they come to a very large tree with an opening in the trunk. Ellis begins to follow Bullet through the tree hearing a voice saying ""Come to me, Ellis."" He finally gets to an opening, but he falls down and begins to crawl until he passes out again and begins dreaming.  The nightmare shows that Ellis, as an officer, shot Peter's brother while responding to a robbery call, severely injuring him; he becomes obsessed with saving Peter as a means of amending that. Awakening, he finds himself in front of the campsite, which seems far more older and overgrown. He inexplicably finds various dog tags belonging to his team. Using Bullet and his camera he finds a patch belonging to the lumber mill, where Lanning was investigating.  On the way there, Ellis finds a burning part of the forest filled with rubble and remains of buildings reminiscent of the site of his failed mission, avoiding a strange force digging through the piles of leaves. He suffers a powerful hallucination of how he felt responsible for the death of his military squad, who were killed during a mission. Arriving at the mills' outpost, he uses the recorder to restart the boiler to power a mine cart. The two ride it as the leaf-dwelling creature follows. Crossing a bridge, Ellis calls Jess one more time before connection is lost, where he alludes to the strange happenings of the woods. She insists he return, but he refuses.  At the mill, he investigates to find the partially bisected corpse of a worker, who was murdered with the equipment by the kidnapper. He comes face to face with the man himself, a mysterious man named Carver, who asks if he sees ""her"". He accuses Ellis of being weak, knocking him out while stating that Peter must die, such is ""her"" will. After another flashback, he awakens as Carver brings him back near the camp, who tells him he was like him, weak and pathetic, but found new purpose, saying he was set free the moment he started listening. Grabbing his recorder, he sees that it shows invisible painted marks around him. He finds the camp is now completely decayed, and gets radio messages from Carver; Ellis gives one final message to Jess. He uses the camera to find the white tree, which he removes several twigs, finding that the tree ""bleeds"" a strange black sap. Using the skin of a deer Carver killed, he makes the sign of the witch. The scent leads Bullet to a small opening under a tree, but a screech is followed as he runs out in fright. Carver tells him of how the only way to survive is to submit, and leads him to a gun to kill Bullet with but Ellis refuses. When Bullet runs off, he's later found wounded. Ellis carries him, only to find himself in a loop with many messages telling him to give it up.  Ellis passes out to find Bullet missing, with voices whispering to him. Attacked by a mysterious creature, he wakes in a cave made of branches, using his flashlight to scare off apparitions. Waking and passing out again, he's confronted by Carver, who mocks him, revealing that he killed Bullet, stating that it's time. He wakes up at the campsite once more, this time in a rainstorm and a very different location. He sees and enters a house, following clues leading to the basement, finding the house seemingly filled with multiple passages and doorways. He has more visions of his past, revealing that the deaths of his comrades due to his negligence was caused by his shock and guilt of incidentally causing the death of a native girl while hiding from enemy forces, resulting in him not noticing their approach and therefore not warning them of the danger; the concealed face he's seen throughout was hers.  Ellis goes through the halls, with the voice's presence becoming more unbearable, all while he avoids shining the light at a monster that becomes enraged when illuminated. At some point, he's thrown into a rage, aggressively making his way into the basement, much to his confusion. Entering it, he finds Peter is nowhere, and goes through a secret trapdoor to the outside. Depending on the ending, he either kills Carver, or lets him kill him, refusing to allow the presence to take him over as a weakened Carver dies anyway. Bullet is revealed to be alive, and the ending depends on how well he's treated. If he ends up killing Carver, he suddenly finds he has transformed into him; Bullet leaves the forest either in fear or sadness. If he lets Carver kill him, Bullet either moves on or stays by his side.  The ending cutscene varies and depends on players completing certain requirements; the endings can either reveal that Lanning's body was never found or was recovered and buried with top honors, the lumberer Todd Mackinnon was found nearly beyond identification or recovered by his family to be buried, and Peter's fate can be unknown or revealed that he was ultimately murdered at Carver's hands or safely found by the authorities and returned to his family unscathed.  "
116,Blaster Master Zero,/wiki/Blaster_Master_Zero,Platformer,Inti Creates,Inti Creates,"March 3, 2017","March 9, 2017","March 9, 2017"," The game plays similarly to the NES original. Players control the SOPHIA vehicle in the side-scrolling levels, exploring environments and defeating enemies using the tank's various weapons. The player character Jason can also hop out of the tank to enter various passages and doors, where the view switches to an overhead perspective. Players can find various upgrades to the tank that may allow access to previously inaccessible areas. Throughout the game the player also encounters various boss characters that must be defeated to progress to later levels. A multiplayer mode allows a second player to take control of an aiming reticle to shoot at enemies.  and setting  The game combines plot elements and character names from the original Blaster Master, its Worlds of Power novelization, as well as the Japanese version of the game, Metafight.  In a distant future, earth falls into an ice age, after countless wars and environmental disasters. Due to the ice age, the human race was forced to live underground. When the ice age came to an end, humanity began making methods they learned while living underground to restore the planet and the environment. During that time, a large, mysterious comet fell to the earth, but that did not hinder their effort to restore the lost ecosystems, and humans were able to live on the earth's surface once again.   Several hundred years later, Jason Frudnick, a young genius in the field of robotics, finds an unusual-looking and frog-like creature that he names Fred. His research is interrupted when Fred escapes into a wormhole that seemed to appear from nowhere, and Jason finds himself inside one of the underground environments from the past, where he encounters an armored tank named SOPHIA III, which he proceeds to use in order to fend off against the mutants that suddenly took over the underground and locate Fred.  During his quest, Jason finds an unconscious girl named Eve, who has a strange connection to SOPHIA III. Together, they find and rescue Fred, whereupon Jason finds out that both Eve and Fred are actually aliens. Fred is a probe sent by the inhabitants of Eve's planet to locate the Mutants, who are alien invaders that once attempted to conquer her planet, whereas Eve is an android created to serve as pilot and support of SOPHIA III. Together, they defeat the Underworld Lord, who was the leader of the Mutants.   In the basic ending, Eve thanks Jason and leaves Earth with the tank and, unbeknownst to Jason, somberly destroys herself along with it. If the player has collected all of SOPHIA III's weapon and upgrade chips, and all of the area maps, then an extended ending is unlocked. After the battle, Eve knocks Jason unconscious and leaves with SOPHIA III to defeat the true leader of the Mutants, the Mutant Core, alone. Fred uses his ability to create wormholes to take Jason to a base where he finds a new tank, the SOPHIA ZERO, a far more powerful version of the SOPHIA III.  Eventually, Jason finds the Mutant Core, which has taken over and corrupted the SOPHIA III with Eve trapped inside of it. Jason fights and disables the corrupted SOPHIA III long enough to rescue Eve and destroys the SOPHIA III and the Mutant Core along with it. In the end, Eve finds out that SOPHIA ZERO was created for her by Kane and Jennifer Gardner, Eve's parents/creators. Eve is truly thankful for Jason that not only he saved the planet but also be there for her. The game ends with Jason watching the scenery, now filled with greenery, with Eve and Fred perched atop of SOPHIA ZERO.  "
117,Blaster Master Zero 2,/wiki/Blaster_Master_Zero_2,Platformer,Inti Creates,Inti Creates,"March 21, 2019","March 20, 2019","March 20, 2019"," The game plays similarly to the NES original. Players control the SOPHIA vehicle in the side-scrolling levels, exploring environments and defeating enemies using the tank's various weapons. The player character Jason can also hop out of the tank to enter various passages and doors, where the view switches to an overhead perspective. Players can find various upgrades to the tank that may allow access to previously inaccessible areas. Throughout the game the player also encounters various boss characters that must be defeated to progress to later levels. A multiplayer mode allows a second player to take control of an aiming reticle to shoot at enemies.  and setting  The game combines plot elements and character names from the original Blaster Master, its Worlds of Power novelization, as well as the Japanese version of the game, Metafight.  In a distant future, earth falls into an ice age, after countless wars and environmental disasters. Due to the ice age, the human race was forced to live underground. When the ice age came to an end, humanity began making methods they learned while living underground to restore the planet and the environment. During that time, a large, mysterious comet fell to the earth, but that did not hinder their effort to restore the lost ecosystems, and humans were able to live on the earth's surface once again.   Several hundred years later, Jason Frudnick, a young genius in the field of robotics, finds an unusual-looking and frog-like creature that he names Fred. His research is interrupted when Fred escapes into a wormhole that seemed to appear from nowhere, and Jason finds himself inside one of the underground environments from the past, where he encounters an armored tank named SOPHIA III, which he proceeds to use in order to fend off against the mutants that suddenly took over the underground and locate Fred.  During his quest, Jason finds an unconscious girl named Eve, who has a strange connection to SOPHIA III. Together, they find and rescue Fred, whereupon Jason finds out that both Eve and Fred are actually aliens. Fred is a probe sent by the inhabitants of Eve's planet to locate the Mutants, who are alien invaders that once attempted to conquer her planet, whereas Eve is an android created to serve as pilot and support of SOPHIA III. Together, they defeat the Underworld Lord, who was the leader of the Mutants.   In the basic ending, Eve thanks Jason and leaves Earth with the tank and, unbeknownst to Jason, somberly destroys herself along with it. If the player has collected all of SOPHIA III's weapon and upgrade chips, and all of the area maps, then an extended ending is unlocked. After the battle, Eve knocks Jason unconscious and leaves with SOPHIA III to defeat the true leader of the Mutants, the Mutant Core, alone. Fred uses his ability to create wormholes to take Jason to a base where he finds a new tank, the SOPHIA ZERO, a far more powerful version of the SOPHIA III.  Eventually, Jason finds the Mutant Core, which has taken over and corrupted the SOPHIA III with Eve trapped inside of it. Jason fights and disables the corrupted SOPHIA III long enough to rescue Eve and destroys the SOPHIA III and the Mutant Core along with it. In the end, Eve finds out that SOPHIA ZERO was created for her by Kane and Jennifer Gardner, Eve's parents/creators. Eve is truly thankful for Jason that not only he saved the planet but also be there for her. The game ends with Jason watching the scenery, now filled with greenery, with Eve and Fred perched atop of SOPHIA ZERO.  "
119,BlazBlue Cross Tag Battle,/wiki/BlazBlue_Cross_Tag_Battle,Fighting,Arc System Works,Arc System Works,"May 31, 2018","June 5, 2018","June 22, 2018"," A singularity called the ""Phantom Field"" is mixing the reality of BlazBlue with other four universes. Members of these worlds are abruptly summoned while instructed by a ""Phantom Field"", the mysterious voice itself, that they must protect the ""Keystone"" in order to return to their homes. But as the Keystone is divided into four fragments for each group, it results in a battle to acquire them.  In the second storyline, it continues from certain BlazBlue episodes revolving around a critical situation accidentally caused by Hazama, unintentionally cause the ""Phantom Field"" to not hold up the unexpected situation, which is why they set up a stamp collecting contest for every participants in different universes (including three) and as part of a temporary truce. They need to solve the problem and stop a dangerous outcome from ending the multiverse, by searching primary candidates.   The gameplay in BlazBlue: Cross Tag Battle differs from previous entries of BlazBlue, Persona 4 Arena, Under Night In-Birth, Arcana Heart and Akatsuki Blitzkampf, including the crossover game Nitroplus Blasterz due to the inclusion of both Arcana Heart and Senran Kagura’s representatives. Cross Tag Battle features 2v2 battles and tag-ins similar to Marvel vs. Capcom: Infinite and Tekken Tag Tournament 2.  "
120,Blazerush,/wiki/Blazerush,Vehicular combat,Targem Games,Targem Games,Unreleased,"February 19, 2019","February 19, 2019"," BlazeRush is an arcade racing game where players compete with each other on various thematic tracks. The main goal of the race is to cross the finish line first. During the race, players can pick up various weapons with different characteristics. Weapons can be used both for attack and defense. You can also find a number of boosters, such as nitro, rocket and pulse variations on the road. Unlike most traditional races, BlazeRush puts emphasis on split-screen local multiplayer, allowing 4 players at once, as well as the possibility to drop into the game at any time.  "
121,Bleed,/wiki/Bleed_(video_game),Action,Bootdisk Revolution,Digerati,Unreleased,"December 14, 2017","December 14, 2017"," Bleed is a platform game that focuses on combat. In the game's story mode, the player must navigate seven levels, each ending with a boss battle. The player can carry weapons that are used to defeat the enemies that populate each level. Weapons can be fired in any direction using the mouse or a controller's analog stick. The player can equip up to two weapons at a time and switch between them freely, and the player can change their equipped weapons at any time by pausing the game. The player can also jump to avoid obstacles and reach platforms. After initially jumping off of the ground, the player can jump up to two more times in mid-air or off of nearby walls. Bleed also allows the player to slow time briefly in order to dodge hard-to-avoid hazards.  Over the course of the game, the player earns money that can be spent between levels on new weapons and upgrades. The game also includes unlockable characters, and the story mode can be played on several different difficulty levels.  In addition to the story mode, the game includes a cooperative mode for two players, an arcade mode where the player has to clear the game with only one life, and a challenge mode where the player can fight multiple bosses at once.   In the game, the player takes control of Wryn, a girl who hopes to become the ""ultimate video game hero"" by defeating all of the current heroes.  With the player's help, she takes the heroes down one by one,  culminating up to the greatest hero of all time, the Giant Dragon.  As soon as the Dragon is killed, a crowd of reporters shows up to bring light to the one who vanquished all the heroes.  However, before Wryn gets a chance to inform them of her deeds, the unnamed blonde guy from the game's opening cutscene arrives and takes all the credit, claiming he killed the heroes.  He is then taken to the Hall of Heroes to be inducted as the newest hero, leaving Wryn confused and angry.  This plan backfires, though, as the blonde guy becomes universally hated across the world since no one wanted a new hero to begin with.  Also, Wryn breaks into the Hall of Heroes to stop the induction.  The blonde guy puts up a good fight but is beaten by Wryn, who then becomes adored by everyone for committing an act of true heroism.  "
122,Bleed 2,/wiki/Bleed_2,Action,Bootdisk Revolution,Digerati,Unreleased,"March 8, 2018","March 8, 2018"," Bleed is a platform game that focuses on combat. In the game's story mode, the player must navigate seven levels, each ending with a boss battle. The player can carry weapons that are used to defeat the enemies that populate each level. Weapons can be fired in any direction using the mouse or a controller's analog stick. The player can equip up to two weapons at a time and switch between them freely, and the player can change their equipped weapons at any time by pausing the game. The player can also jump to avoid obstacles and reach platforms. After initially jumping off of the ground, the player can jump up to two more times in mid-air or off of nearby walls. Bleed also allows the player to slow time briefly in order to dodge hard-to-avoid hazards.  Over the course of the game, the player earns money that can be spent between levels on new weapons and upgrades. The game also includes unlockable characters, and the story mode can be played on several different difficulty levels.  In addition to the story mode, the game includes a cooperative mode for two players, an arcade mode where the player has to clear the game with only one life, and a challenge mode where the player can fight multiple bosses at once.   In the game, the player takes control of Wryn, a girl who hopes to become the ""ultimate video game hero"" by defeating all of the current heroes.  With the player's help, she takes the heroes down one by one,  culminating up to the greatest hero of all time, the Giant Dragon.  As soon as the Dragon is killed, a crowd of reporters shows up to bring light to the one who vanquished all the heroes.  However, before Wryn gets a chance to inform them of her deeds, the unnamed blonde guy from the game's opening cutscene arrives and takes all the credit, claiming he killed the heroes.  He is then taken to the Hall of Heroes to be inducted as the newest hero, leaving Wryn confused and angry.  This plan backfires, though, as the blonde guy becomes universally hated across the world since no one wanted a new hero to begin with.  Also, Wryn breaks into the Hall of Heroes to stop the induction.  The blonde guy puts up a good fight but is beaten by Wryn, who then becomes adored by everyone for committing an act of true heroism.  "
123,Bloodstained Curse of the Moon,/wiki/Bloodstained_Curse_of_the_Moon,Action,Inti Creates,Inti Creates,"May 24, 2018","May 24, 2018","May 24, 2018"," Bloodstained: Curse of the Moon is a 2D side-scrolling platformer that plays and looks similar to Castlevania games on the Nintendo Entertainment System (NES), most notably Castlevania III: Dracula's Curse (1989). Like Castlevania III, the game features stages with branching paths that lead to a single boss, and multiple playable characters. The player starts as swordsman Zangetsu, and may recruit up to three other characters as they progress including the whip-wielding Miriam, a magician named Alfred, and a vampire named Gebel. Each character has different weapons, skills, health points, and attack styles that make them more appropriate for different situations. The player may switch between these characters instantly at any time. If a character dies, they become unavailable for the rest of the level, which may limit the player's ability to explore the remainder of the stage or potentially even complete it. In such instances, the player can restart the level with all characters again. The player has the ability to enable and disable unlimited lives and the player character is knocked back when hit by an enemy, characteristic of classic Castlevania gameplay. There is also a boss rush mode, and other options to increase game difficulty.   The story follows Zangetsu, a swordsman searching for revenge upon the demons who magically cursed him. He feels the presence of a great demon, and swears to kill all demons he can find as he quests across the areas of Curse of the Moon.  During his search he encounters Miriam, Alfred, and Gebel. Based on how the protagonist treats the other travelers, the ending changes. In all paths, he fights the archdemon Gremory in the final stage. If Zangetsu allies with all three potential party members, Gremory's final attack on the party is blocked by him, who absorbs the dark power and becomes corrupted. Miriam, Alfred, and Gebel manage to escape the castle, but are not able to forget about Zangetsu who was left behind. If the protagonist ignores all three potential party members and travels alone, then the three of them arrive to block Gremory's final attack, sacrificing themselves and saving the main character. If Zangetsu mixes recruiting, ignoring, and killing the others, then he (and any allies) will leave the castle and watch as it crumbles with the sunrise, but the swordsman is not freed from his curse. If Zangetsu chooses to kill the other three and absorb their power he will absorb Gremory's dark energy attack and become the new dark emperor.  In ""Nightmare"" mode, unlocked if the player defeats the game while recruiting all three potential allies, Miriam, Alfred, and Gebel travel back to the castle to defeat the corrupted Zangetsu, who is that mode's final enemy. The three kill the emperor and free his soul from the curse of the moon.  "
125,Bloodstained Ritual of the Night,/wiki/Bloodstained_Ritual_of_the_Night,Metroidvania,ArtPlay,505 Games,"October 24, 2019","June 25, 2019","June 25, 2019"," Bloodstained takes place in 18th century England during the Industrial Revolution. Fearing the loss of their influence over their wealthy patrons, the Alchemy Guild researched methods to summon demons and created Shardbinders, humans forcibly fused with demonically-charged crystals that attuned them to their powers. These Shardbinders were sacrificed by the Guild to summon demons from Hell in what was meant to be a scare tactic but instead brought uncontrollable destruction that wiped out the Guild and much of England until the Church was able to banish them. Of the sacrificed Shardbinders, only one named Gebel survived. Another Shardbinder, the main protagonist Miriam, is spared due to falling into an unnatural slumber before she can be sacrificed.  Ten years later in the game's present-day, Miriam has awakened from her slumber and has learned that Gebel has summoned the demons to destroy England as he seeks revenge on the surviving alchemists for what they did to him. Accompanied by Johannes, a former member of the Alchemy Guild, they sail across the ocean to Arvantville, a destroyed village on the outskirts of Gebel's castle, the Hellhold. They meet with Johannes's friend Dominique, an exorcist who helped Johannes care for Miriam during her slumber and has been sent by the Church to help them stop Gebel.  As Miriam begins her journey into the Hellhold, she confronts Alfred, a surviving member of the Alchemy Guild and the former mentor to Johannes. Alfred seeks to recover an ancient book used in the demon summoning by Gebel, the Liber Logaeth, and threatens to kill Miriam if she does not leave. As his former student, Johannes deeply distrusts Alfred's motives and fears he may be making another mistake, partially feeling responsible for the actions that Alfred and the other alchemists took in harming Gebel, Miriam, and the other Shardbinders. She also crosses paths multiple times with Zangetsu, a demon hunter from the Far East who initially distrusts Miriam due to her Shardbinder powers having ties to demons, but over time begins to respect her strength. Zangetsu explains that he is seeking a demon named Gremory, who is continuously eluding him for fear of his power. He gives Miriam his katana thinking that Gremory will not expect her to be wielding it and drop her guard.  Miriam confronts Gebel in the Hellhold's throne room, and she attempts to reason with him by reminding him that during the trauma of her transformation into a Shardbinder, he was the one who taught her to never give up on her humanity. Though he briefly seems moved by her words, Gebel remains defiant and the two Shardbinders fight. Should Gebel be killed, he will thank Miriam for stopping him, but the game will immediately end as Miriam wonders if she made the right choice. Using Zangetsu's katana, Miriam instead exposes Gremory's hiding place in the throne room and she escapes. Freed from the demon's control, Gebel is only able to give Miriam his final apologies before the crystals in his body consume him completely. Alfred then arrives to steal the Liber Logaeth from them and flees.  Miriam chases Gremory and Alfred through a dimensional portal into another part of the castle. Inside, she finds Alfred mortally wounded and the Liber Logaeth gone. As he dies, he explains that he was trying to use the Liber Logaeth as part of a spell he had cast throughout the Hellhold to destroy it. He also reveals that he was the one who put Miriam in her slumber ten years ago to sabotage the Guild's summoning, knowing her power as a Shardbinder was so immense that it would have brought even worse destruction than what was summoned had she been sacrificed.  Reuniting with Zangetsu, Miriam tracks down Gremory. Zangetsu uses his power to bind the demon in place, but he is seemingly killed in the process and so Miriam defeats Gremory alone. She then locates the Liber Logaeth and the one who stole it: Dominique. Craving the power to defy and destroy God for letting everybody die during the demon summoning ten years ago, Dominique reveals that she has turned herself into a Shardbinder through extensive study of Miriam and Gebel and uses the Liber Logaeth to summon Bael, the king of demons. Miriam banishes Dominique and Bael, and Johannes uses the Liber Logaeth to complete Alfred's spell and destroy the Hellhold.  As peace returns to the land, Miriam mourns the sacrifices made for her victory and wonders if the world will ever truly be free of the demons. Johannes consoles Miriam by revealing that with the Liber Logaeth, he may have the means to permanently stop the crystals from consuming her body. Miriam and Johannes leave Arvantville while an unseen person's shadow steps into view, revealed to be Zangetsu who survived the events of the story after managing to escape hell. He retrieves his sword, Zangetsuto, after watching the pair walk away.   The game follows the post-Metroidvania-style gameplay of the Symphony of the Night and Order of Ecclesia games of the Castlevania series. As Miriam, the player explores a labyrinthine series of rooms presented as a platform game, fighting monsters and bosses and gaining keys or powers that let them explore previous areas that were previously impossible to reach. Miriam is able to use various weapons to perform melee or ranged attacks to defeat monsters, or special abilities granted by the shards she possesses from monsters to perform magical attacks. Miriam has both a health bar and a magic power bar. Health is lost to monster and environmental attacks, and should this drop to zero, the game is over, requiring the player to load the last save state. Health can be restored by using items or finding health drops from monsters or environmental pieces. Magic power is drained by using shard skills, and if out of mana, the player cannot use shard skills, but mana can be similarly regained as with health.  The player gains new weapons, armor and accessories throughout the game by defeating monsters and looting chests. This equipment provides various attributes to Miriam along with offensive and defensive bonuses. For weapons, this also set the type of attacks that the player can make. For example, short swords allow a variety of fast, close-ranged attacks, spears enable slow but long-reaching attacks, and guns allow for long-distance shots but with no melee possibilities. The equipment can be changed on the fly via menu screens. Shards are obtained by defeating monsters, and generally contain a power reflecting the essence of the monster it came from. The player can only equip a limited number of shards, but like equipment, shards can be swapped out on the fly.  Among the maze of rooms include save rooms, allowing the player to save their game and fully regenerate Miriam's health and magic power. Additionally, warp rooms allow the player to quick jump from one region of the map to another previously discovered warp room. Following the game's prelude, the player also gains access to a set of non-playable characters located at the start of the map that provide stores to buy and sell weapons, shards, ingredients and crafting services to make new weapons or upgrade shards. The game is presented in a 2.5D style, presenting the game in three-dimensional graphics but restricting movement to a 2D system. Igarashi stated the choice for 2.5D was to follow the style of previous Castlevania games, such as The Dracula X Chronicles and Mirror of Fate.  "
126,Bloons TD 5,/wiki/Bloons_TD_5,Strategy,Ninja Kiwi,Ninja Kiwi,Unreleased,"June 13, 2018","June 19, 2018"," The main objective of Bloons TD is to prevent balloons, known in-game as ""Bloons"", from reaching the end of a defined track on a map which consists of one or more entrances and exits for the bloons. The game is a tower defense game and thus the player can choose various types of towers and traps at his or her disposal to place around the track in order to defend against the bloons, gaining 1 in-game dollar for every layer of bloon popped. If a bloon reaches the end of a path, the player loses lives (or in later games, health); once these are all depleted, the game ends. The bloons always follow the map's set path on the track until they either reach the exit(s), are popped, or are moved to an earlier part of the track by a tower's ability.  There are two classes of bloons in the game: regular (unnamed in the game) and MOAB-class. The regular bloons consist of: red, blue, green, yellow, pink, black, white, lead, zebra, rainbow, purple, and ceramic bloons. MOAB-class bloons are in the shape of a blimp and consist of: MOAB (Massive Ornary Air Blimp), BFB (Brutal Flying Behemoth), DDT (Dark Dirigible Titan), the ZOMG (Zeppelin Of Mighty Gargantuaness), and the BAD (Big Airship of Doom). Tougher variants of most bloon types contain a number of specified weaker ones. In later versions of the game, regular bloons possess sometimes special characteristics such as camo (which most towers cannot detect), regrowth (the ability for the bloons to slowly grow back to their original size), and fortified (which doubles the health of the toughest bloons), that resist certain tower types. With each level, the intensity of bloon waves proportionately increases.  Towers are the main defensive utility in the Bloons TD series. Each tower has its own unique purpose, power, and use, with some being powerful against specific bloons but unable to target others effectively. Every tower can be upgraded to increase power and other capabilities by spending the in-game currency, known simply as 'money', which is earned by popping bloons and at the end of each round. In Bloons TD 4 onwards, certain towers such as banana farms can be placed to produce additional money during a round (end of the round in Bloons TD 4).  In later games, there are multiple difficulty levels; for instance, in BTD5, there are four difficulty levels and in Bloons Monkey City there are 5. The higher the difficulty the player plays on, the fewer lives they have and the more each tower and upgrade cost. There are also different types of maps rated by difficulty; in general, there are more types of maps in newer games.  "
